公司,年月,股東權益總額,當季季底P/E,季底普通股市值,TEJ主產業代碼
1538 正峰,2020/12/31,"172,935",,"256,441",15A
1539 巨庭,2020/12/31,"1,251,074",,"1,271,447",15A
1540 喬福,2020/12/31,"1,336,100",,"1,320,558",15A
1541 錩泰,2020/12/31,"1,714,454",7.13,"4,200,040",15A
1558 伸興,2020/12/31,"5,054,478",7.54,"8,505,168",15A
1560 中砂,2020/12/31,"4,735,991",13.68,"9,367,513",15A
1568 倉佑,2020/12/31,"1,479,953",312.71,"2,211,195",15D
1582 信錦,2020/12/31,"6,241,835",7.54,"10,739,243",23D
1583 程泰,2020/12/31,"6,465,981",89.56,"6,866,880",15A
1587 吉茂,2020/12/31,"1,292,135",13.57,"1,643,703",15D
1589 永冠-KY,2020/12/31,"8,763,942",14.7,"9,114,841",15A
1590 亞德客-KY,2020/12/31,"22,491,128",27.01,"170,121,600",15A
1592 英瑞-KY,2020/12/31,"909,252",,"1,015,449",15D
1597 直得,2020/12/31,"2,113,058",25.09,"6,787,233",15A
1598 岱宇,2020/12/31,"4,869,862",9.5,"15,732,468",17G
1603 華電,2020/12/31,"5,424,937",27.83,"5,453,524",16
1604 聲寶,2020/12/31,"8,094,071",14.17,"10,086,560",15C
1605 華新,2020/12/31,"87,280,830",7.24,"62,261,800",16
1608 華榮,2020/12/31,"7,923,083",23.03,"8,668,990",16
1609 大亞,2020/12/31,"9,130,044",16.88,"11,960,867",16
1611 中電,2020/12/31,"4,208,206",65.57,"4,502,153",15C
1612 宏泰,2020/12/31,"5,296,315",16.71,"5,705,244",16
1614 三洋電,2020/12/31,"5,357,483",22.82,"9,903,358",15C
1615 大山,2020/12/31,"2,029,888",7.4,"3,076,175",16
1616 億泰,2020/12/31,"1,506,404",66.4,"1,302,733",16
1617 榮星,2020/12/31,"1,797,135",12.24,"2,134,648",16
1618 合機,2020/12/31,"4,615,594",11.49,"3,215,534",16
1626 艾美特-KY,2020/12/31,"3,138,916",13.53,"3,140,708",15C
1701 中化,2020/12/31,"6,626,859",10.79,"7,034,712",17C
1702 南僑,2020/12/31,"6,955,389",8.35,"13,824,204",12B
1707 葡萄王,2020/12/31,"7,978,454",10.17,"24,190,765",17C
1708 東鹼,2020/12/31,"5,796,077",29.56,"5,516,850",17Z
1709 和益,2020/12/31,"7,484,947",9.93,"7,441,450",17E
1710 東聯,2020/12/31,"14,911,806",,"17,979,771",13A
1711 永光,2020/12/31,"8,388,383",32.74,"9,339,172",17B
1712 興農,2020/12/31,"7,107,429",12.49,"9,040,578",17C
1713 國化,2020/12/31,"2,339,296",32.97,"3,268,089",17B
1714 和桐,2020/12/31,"16,343,964",3.02,"10,574,970",17E
1717 長興,2020/12/31,"23,238,302",13.71,"45,332,197",17F
1718 中纖,2020/12/31,"66,400,151",6.77,"18,159,310",13A
1720 生達,2020/12/31,"4,905,835",8.72,"6,736,839",17C
1721 三晃,2020/12/31,"2,477,377",5.08,"2,456,934",17F
1722 台肥,2020/12/31,"51,308,711",27.79,"53,116,000",17C
1723 中碳,2020/12/31,"6,810,426",29.44,"25,704,084",17Z
1724 台硝,2020/12/31,"1,946,526",33.35,"1,706,304",17Z
1725 元禎,2020/12/31,"3,430,670",14.24,"2,981,996",17Z
1726 永記,2020/12/31,"8,763,190",11.27,"11,550,600",17B
1727 中華化,2020/12/31,"1,268,603",7.99,"1,196,163",17Z
1730 花仙子,2020/12/31,"1,868,498",13.08,"4,533,806",17E
1731 美吾華,2020/12/31,"1,876,050",13.31,"2,319,367",17C
1732 毛寶,2020/12/31,"490,521",22.7,"1,037,731",17E
1733 五鼎,2020/12/31,"1,646,167",22.82,"2,368,815",17G
1734 杏輝,2020/12/31,"3,143,823",,"5,190,996",17C
1735 日勝化,2020/12/31,"1,484,544",14.96,"1,699,535",17F
1736 喬山,2020/12/31,"10,281,725",29.16,"28,114,842",17G
1737 臺鹽,2020/12/31,"6,364,228",14.14,"6,540,000",12Z
1760 寶齡富錦,2020/12/31,"1,239,967",78.1,"6,530,489",17C
1762 中化生,2020/12/31,"2,498,663",15.94,"4,769,940",17C
1773 勝一,2020/12/31,"5,764,974",13.45,"19,530,000",17Z
1776 展宇,2020/12/31,"1,098,867",14.39,"1,167,744",17F
1783 和康生,2020/12/31,"860,227",20.73,"1,590,749",17G
1786 科妍,2020/12/31,"1,404,181",25.41,"3,764,009",17G
1789 神隆,2020/12/31,"10,529,403",64.25,"22,812,820",17C
1795 美時,2020/12/31,"8,745,414",15,"19,628,240",17C
1802 台玻,2020/12/31,"46,800,197",21.3,"56,707,170",18
1805 寶徠,2020/12/31,"604,837",,"1,001,647",25A
1806 冠軍,2020/12/31,"5,516,902",,"3,387,837",18
1808 潤隆,2020/12/31,"5,070,936",59.12,"22,088,761",25A
1809 中釉,2020/12/31,"3,469,158",,"2,079,660",18
1810 和成,2020/12/31,"5,951,582",87.38,"3,772,501",18
1817 凱撒衛,2020/12/31,"1,715,527",8.6,"2,490,180",18
1903 士紙,2020/12/31,"3,412,685",,"15,420,313",19A
1904 正隆,2020/12/31,"26,786,556",8.08,"37,681,316",19A
1905 華紙,2020/12/31,"16,985,754",,"13,454,587",19B
1906 寶隆,2020/12/31,"6,372,862",29.55,"2,710,450",19A
1907 永豐餘,2020/12/31,"58,287,999",5.41,"48,897,926",19A
1909 榮成,2020/12/31,"25,423,046",22.77,"29,706,176",19A
2002 中鋼,2020/12/31,"323,106,981",172.12,"389,437,785",20A
2006 東和鋼鐵,2020/12/31,"27,707,825",8.6,"38,644,704",20A
2007 燁興,2020/12/31,"7,424,561",,"5,104,863",20A
